Cod_UF;UF;Ano;Tipo de floresta;Tipo de produto florestal;Produto florestal (com código);Grupo;Uso;Parte da planta;Espécie;Quantidade;Unidade de medida PEVS;Valor da produção (mil R$) (nominal) ;Fator de correção IPCA;Valor corrigido (mil R$) (real - IPCA 2023);Preço médio (R$/t) (nominal);Preço médio corrigido (R$/t) (real - IPCA 2023)
32;Espírito Santo;2023;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;1;Toneladas;3.995,00;1;3.995,00 ;3.995.000,00;3.995.000,00
51;Mato Grosso;2013;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;3;Toneladas;343,00 ;1,786224503;612,68 ;114.333,33;204.225,00
51;Mato Grosso;2018;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;118,00 ;1,316055638;155,29 ;118.000,00;155.294,57
51;Mato Grosso;2011;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;2;Toneladas;154,00 ;1,993523839;307,00 ;77.000,00;153.501,34
51;Mato Grosso;2012;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;3;Toneladas;238,00 ;1,890495089;449,94 ;79.333,33;149.979,28
32;Espírito Santo;2002;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;7;Toneladas;289,00;3,463558264;1.000,97 ;41.285,71;142.995,48
51;Mato Grosso;2017;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;103,00 ;1,376028681;141,73 ;103.000,00;141.730,95
51;Mato Grosso;2014;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;84,00 ;1,675833333;140,77 ;84.000,00;140.770,00
51;Mato Grosso;2015;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;90,00 ;1,524470319;137,20 ;90.000,00;137.202,33
51;Mato Grosso;2010;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;6;Toneladas;385,00 ;2,132474426;821,00 ;64.166,67;136.833,78
51;Mato Grosso;2023;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;131,00 ;1;131,00 ;131.000,00;131.000,00
51;Mato Grosso;2022;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;123,00 ;1,04819185;128,93 ;123.000,00;128.927,60
42;Santa Catarina;2002;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;6;Toneladas;209,00;3,463558264;723,88 ;34.833,33;120.647,28
51;Mato Grosso;2016;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;83,00 ;1,413199631;117,30 ;83.000,00;117.295,57
42;Santa Catarina;2003;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;6;Toneladas;213,00;3,03864389;647,23 ;35.500,00;107.871,86
42;Santa Catarina;2004;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;6;Toneladas;213,00;2,843461732;605,66 ;35.500,00;100.942,89
51;Mato Grosso;2021;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;90,00 ;1,116013764;100,44 ;90.000,00;100.441,24
51;Mato Grosso;2020;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;80,00 ;1,235121696;98,81 ;80.000,00;98.809,74
51;Mato Grosso;2019;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;75,00 ;1,283518088;96,26 ;75.000,00;96.263,86
42;Santa Catarina;2006;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;7;Toneladas;238,00;2,58881797;616,14 ;34.000,00;88.019,81
42;Santa Catarina;2007;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;7;Toneladas;247,00;2,48649349;614,16 ;35.285,71;87.737,70
12;Acre;2001;Floresta Natural;PFNM;8.2 - Copaíba (óleo);8 - Oleaginosos;Oleaginosos;Exudatos;Copaíba;1;Toneladas;17,00 ;3,756061826;63,85 ;17.000,00;63.853,05
