Ano;Especie;Quantidade;Valor_Corrigido_IPCA_Mil_R$
1994;Eucalipto;34149;12115.98
1995;Eucalipto;26160;4827.63
1996;Eucalipto;119054;51568.15
1997;Eucalipto;120096;53462.73
1998;Eucalipto;116811;53028.19
1999;Eucalipto;109687;50313.77
2000;Eucalipto;111296;45628.119999999995
2001;Eucalipto;54043;13215.54
2002;Eucalipto;57794;4854.16
2003;Eucalipto;37851;3438.1800000000003
2004;Eucalipto;33572;5371.22
2005;Eucalipto;60319;10397.44
2006;Eucalipto;48364;8420.51
2007;Eucalipto;53084;4558.46
2008;Eucalipto;58326;5508.92
2009;Eucalipto;64077;5792.91
2010;Eucalipto;96907;9102.630000000001
2011;Eucalipto;56797;5330.2300000000005
2012;Eucalipto;46474;4587.99
2013;Eucalipto;141351184;20004871.7
2013;Pinus;42026875;5265854.25
2014;Eucalipto;140996738;19786977.61
2014;Pinus;39614054;4944948.92
2015;Eucalipto;140089004;16748540.479999999
2015;Pinus;37709312;3985106.14
2016;Eucalipto;145423644;15715931.790000001
2016;Pinus;40909021;3949957.37
2017;Eucalipto;147129980;15203456.4
2017;Pinus;43957530;4452067.2700000005
2018;Eucalipto;155151788;17062106.04
2018;Pinus;42526301;3961499.48
2019;Eucalipto;140659567;15474737.76
2019;Pinus;40642360;3910138.52
2020;Eucalipto;148747388;18431428.47
2020;Pinus;45734584;4858825.97
2021;Eucalipto;153605093;20483797.990000002
2021;Pinus;47585370;5385453.67
2022;Eucalipto;172849081;23106670.18
2022;Pinus;48936989;5506469.91
2023;Eucalipto;182320901;26078028.48
2023;Pinus;47812428;5695766.83
