Ano;UF;Especie;Grupo;Uso;Quantidade
2023;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;27473226
2022;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;24651738
2023;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;18713239
2022;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;17540067
2018;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;17511680
2013;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;17300614
2014;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;16107261
2021;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;15952515
2015;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;15281191
2020;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;15118623
2022;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;15115701
2022;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;14884887
2023;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;14833542
2020;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;14661653
2019;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;14602994
2016;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;14354314
2020;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;14277050
2021;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;14188660
2017;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;14127211
2018;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;13965687
2023;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;13924643
2018;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;13763068
2016;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;13617123
2021;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;13144044
2019;São Paulo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;13103651
2020;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;13079511
2017;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;12860798
2017;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;12837042
2014;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;12589717
2022;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;12301906
2014;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;12296942
2021;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;12270868
2015;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;12215860
2023;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;12152988
2019;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11951147
