Ano;UF;Especie;Grupo;Uso;Quantidade
2021;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;15952515
2020;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;15118623
2022;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;14884887
2023;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;14833542
2014;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;12589717
2019;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11951147
2016;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11352066
2018;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11349215
2013;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11240394
2015;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11190095
2017;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10829020
2023;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10236722
2022;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10074427
2016;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;10061395
2022;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;9893730
2021;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;9862430
2017;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;9673836
2020;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;9127097
2021;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8871961
2019;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;8686271
2018;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8430773
2018;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;8274914
2020;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8183550
