UF;Ano;Especie;Grupo;Uso;Quantidade;Valor_Corrigido_IPCA_Mil_R$;Preco_Medio_Corrigido_IPCA
Rio Grande do Sul;2014;Pinus;1.1 - Carvão vegetal;Madeira para combustível;2;133.804416;66903.962502
Tocantins;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;140;7742.827445999999;55305.926838
Santa Catarina;2017;Pinus;1.1 - Carvão vegetal;Madeira para combustível;63;1285.188474;20399.804874
Sergipe;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3;17.8602;5953.403502
Mato Grosso;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;6;29.689956000000002;4949.029902
Sergipe;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3;12.113418;4037.844522
Alagoas;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;30;112.561284;3751.944744
Mato Grosso;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;520;1912.0919999999999;3677.1
Sergipe;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3;10.548023999999998;3517.450824
Rio de Janeiro;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;165;577.546338;3500.315538
Tocantins;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;1;3.2043299999999997;3203.216364
Rio Grande do Sul;2015;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;3.2043299999999997;3203.216364
Rio de Janeiro;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;289;880.4028;3046.382796
São Paulo;2016;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;2.973198;2969.41584
Rio Grande do Sul;2016;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;2.973198;2969.41584
Rio de Janeiro;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;439;1300.2855960000002;2961.925062
Rio de Janeiro;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;259;760.5293399999999;2936.427
Rio Grande do Sul;2017;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;2.88915;2891.3142359999997
Santa Catarina;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;12593;36340.254;2885.746056
Rio de Janeiro;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;231;666.437604;2885.010636
Tocantins;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;415;1169.128692;2817.173394
Ceará;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;18;50.659932;2814.252726
Rio de Janeiro;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;304;844.7454359999999;2778.7844699999996
Alagoas;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;1;2.7630779999999997;2765.294766
Rio Grande do Sul;2018;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;2.7630779999999997;2765.294766
Mato Grosso;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;1;2.7630779999999997;2765.294766
Rio Grande do Sul;2019;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;2.700042;2696.932224
Ceará;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;18;48.075455999999996;2670.656718
Tocantins;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;300;792.2889779999999;2640.94575
Rio de Janeiro;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;165;429.233136;2601.401166
Rio Grande do Sul;2020;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;2.5949820000000003;2595.2341439999996
Ceará;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;18;46.2264;2568.128664
Santa Catarina;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;12942;32564.481648;2516.187
Goiás;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;1276;3196.8077040000003;2505.334302
São Paulo;2014;Pinus;1.1 - Carvão vegetal;Madeira para combustível;600;1452.5175359999998;2420.866062
Tocantins;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;98;234.55695599999999;2393.487426
Rio Grande do Sul;2021;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;2.342838;2344.970718
Santa Catarina;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;13375;30522.104742;2282.0292719999998
Alagoas;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;2;4.454544;2227.06188
Goiás;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;2573;5706.764646;2217.9426719999997
Rio Grande do Sul;2022;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;2.20626;2202.456828
Alagoas;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;2;4.338978;2168.480424
Paraná;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;17904;38528.632788;2151.954486
Rio Grande do Sul;2023;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;2.1012;2101.2
Santa Catarina;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;12056;25329.524748;2100.98988
Goiás;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3415;6971.88666;2041.546932
Goiás;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3192;6516.0943560000005;2041.3788359999999
Rio de Janeiro;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;565;1147.927584;2031.734328
Goiás;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;1190;2353.259952;1977.533874
Paraná;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;21861;42887.193972;1961.8168979999998
São Paulo;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;67420;131949.89688000001;1957.1312219999998
São Paulo;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;65836;126805.886124;1926.0859919999998
Santa Catarina;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;11924;22915.802766;1921.820556
Pará;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;141;270.676584;1919.65632
Goiás;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3462;6637.6908;1917.302976
Santa Catarina;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;8395;15852.713520000001;1888.34844
Rio Grande do Sul;2013;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1;1.880574;1876.602732
Santa Catarina;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;11879;22209.473879999998;1869.637254
São Paulo;2013;Pinus;1.1 - Carvão vegetal;Madeira para combustível;11818;21716.101614;1837.541424
Tocantins;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;125;229.0308;1832.2464
Santa Catarina;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;10495;19094.224254;1819.3660439999999
São Paulo;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;63692;115543.244004;1814.092032
Rio de Janeiro;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;647;1172.879334;1812.799794
Santa Catarina;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;9312;16683.654072;1791.6302039999998
São Paulo;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;71433;127492.4112;1784.780292
Pará;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;155;276.16071600000004;1781.649504
Santa Catarina;2014;Pinus;1.1 - Carvão vegetal;Madeira para combustível;4269;7516.128978;1760.626998
Goiás;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;1233;2164.1414459999996;1755.18489
Sergipe;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3;5.189964000000001;1730.159598
Goiás;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;2683;4636.014138;1727.92182
Tocantins;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;1295;2234.7522719999997;1725.6840419999999
Santa Catarina;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;8302;14196.65274;1710.030102
Pará;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;19140;32280.7356;1686.5596979999998
Alagoas;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;20;33.6192;1680.96
Rio de Janeiro;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;1194;2003.136996;1677.6716219999998
Pará;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;43090;71327.786958;1655.3253599999998
Paraná;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;27989;46033.436298;1644.693288
Goiás;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;2554;4181.587614;1637.265546
Rio Grande do Sul;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;34483;56238.618;1630.909416
São Paulo;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;117915;190526.583156;1615.791282
São Paulo;2015;Pinus;1.1 - Carvão vegetal;Madeira para combustível;135;216.21348;1601.608182
Santa Catarina;2015;Pinus;1.1 - Carvão vegetal;Madeira para combustível;72;115.313856;1601.608182
Rio Grande do Sul;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;34453;55162.835117999995;1601.103894
São Paulo;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;112102;179418.883524;1600.4945460000001
Rio de Janeiro;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;1180;1869.0174;1583.916078
Goiás;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;4268;6646.810008;1557.35691
São Paulo;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;119466;185332.910538;1551.3474780000001
São Paulo;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;114104;175729.039746;1540.07454
Goiás;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3036;4659.747192;1534.832046
São Paulo;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;91176;139834.22964;1533.6763859999999
São Paulo;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;93142;142204.729938;1526.752932
Pará;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;37749;57186.742476;1514.923176
Santa Catarina;2016;Pinus;1.1 - Carvão vegetal;Madeira para combustível;68;100.96265999999999;1484.70792
São Paulo;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;119068;175373.19102;1472.878164
Santa Catarina;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;8207;12006.529956;1462.9605
Rio Grande do Sul;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;17721;25395.103199999998;1433.049918
Rio Grande do Sul;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;15390;21576.529404;1401.983676
Alagoas;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;87;121.13418;1392.36018
Espírito Santo;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;22196;30788.200709999997;1387.10718
Pará;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;37032;51327.934998000004;1386.0460739999999
Santa Catarina;2018;Pinus;1.1 - Carvão vegetal;Madeira para combustível;30;41.47768799999999;1382.6526359999998
Santa Catarina;2019;Pinus;1.1 - Carvão vegetal;Madeira para combustível;24;32.35848;1348.466112
Rio Grande do Sul;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;12314;16539.637824;1343.160582
Paraná;2013;Pinus;1.1 - Carvão vegetal;Madeira para combustível;710;934.550724;1316.2652219999998
Paraná;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;58383;76174.740564;1304.74014
Espírito Santo;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;17335;22521.712199999998;1299.2034780000001
Pará;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;39675;51319.750824;1293.49872
Paraná;2015;Pinus;1.1 - Carvão vegetal;Madeira para combustível;950;1226.827644;1291.39752
Santa Catarina;2013;Pinus;1.1 - Carvão vegetal;Madeira para combustível;4310;5500.332252;1276.184832
Paraná;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;58882;74842.737354;1271.0579039999998
Pará;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;26101;33020.221421999995;1265.090496
Rio Grande do Sul;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;16162;20415.616404;1263.1889099999999
Piauí;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;27109;34177.0686;1260.7305059999999
Piauí;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;27630;34339.711986;1242.838788
Paraná;2014;Pinus;1.1 - Carvão vegetal;Madeira para combustível;740;917.289366;1239.581928
Paraná;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;81734;101296.7508;1239.3507960000002
Maranhão;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;211849;261451.90626599998;1234.13982
Pará;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;20558;25356.766805999996;1233.425412
Paraná;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;58102;71383.311168;1228.582146
Piauí;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;25618;31473.160391999998;1228.561134
Maranhão;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;204249;250772.967;1227.78369
Paraná;2017;Pinus;1.1 - Carvão vegetal;Madeira para combustível;908;1111.713402;1224.348228
Rio Grande do Sul;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;19420;23554.073784;1212.875676
Paraná;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;60880;72839.77896000001;1196.444292
Santa Catarina;2020;Pinus;1.1 - Carvão vegetal;Madeira para combustível;23;27.252564;1184.782632
Rio Grande do Sul;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;20602;24240.588354;1176.608964
Paraná;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;59759;70092.270852;1172.910852
Santa Catarina;2021;Pinus;1.1 - Carvão vegetal;Madeira para combustível;28;32.83125;1172.480106
Bahia;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;118266;138155.84361;1168.183152
Paraná;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;60364;70394.75960399999;1166.166
Paraná;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;51763;60126.205709999995;1161.5643719999998
Minas Gerais;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;5411451;6273713.3611739995;1159.3371
Rio Grande do Sul;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;20985;24265.613645999998;1156.332384
Minas Gerais;2023;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;5967990;6861625.1394;1149.734616
Espírito Santo;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;30278;34600.008642;1142.748126
Minas Gerais;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;6103107;6944836.483584;1137.915366
Rio Grande do Sul;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;21746;24574.300938;1130.056878
Mato Grosso do Sul;2023;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1375;1545.4325999999999;1123.952892
Paraná;2016;Pinus;1.1 - Carvão vegetal;Madeira para combustível;875;981.386472;1121.5890419999998
Santa Catarina;2023;Pinus;1.1 - Carvão vegetal;Madeira para combustível;19;21.012;1105.893078
Santa Catarina;2022;Pinus;1.1 - Carvão vegetal;Madeira para combustível;20;22.020576000000002;1101.228414
Minas Gerais;2022;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;6247157;6690474.383322;1070.960628
Espírito Santo;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;44676;47757.786078;1068.9855
Paraná;2022;Pinus;1.1 - Carvão vegetal;Madeira para combustível;568;601.268886;1058.574054
Espírito Santo;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;40539;42885.43947;1057.8806579999998
Mato Grosso do Sul;2022;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1697;1793.8995;1057.103214
Paraná;2021;Pinus;1.1 - Carvão vegetal;Madeira para combustível;555;569.824428;1026.719862
Bahia;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;115976;118684.10725799999;1023.3474359999999
Espírito Santo;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;30005;30169.50237;1005.4872359999999
Maranhão;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;65236;64943.8896;995.5170420000001
Paraná;2023;Pinus;1.1 - Carvão vegetal;Madeira para combustível;2583;2537.199;982.2689760000001
Paraná;2020;Pinus;1.1 - Carvão vegetal;Madeira para combustível;537;526.8338759999999;981.0712920000001
