Cod_UF;UF;Ano;Tipo_Floresta;Tipo_Produto;Produto_Florestal_Codigo;Grupo;Uso;Parte_Planta;Especie;Quantidade;Unidade_Medida_PEVS;Valor_Producao_Nominal_Mil_R$;Fator_Correcao_IPCA;Valor_Corrigido_IPCA_Mil_R$;Preco_Medio_Nominal;Preco_Medio_Corrigido_IPCA
43;Rio Grande do Sul;2014;Floresta Plantada;PFM;1.1.2 - Carvão vegetal de pinus;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Pinus;2;Toneladas;76,00;1.76;133.8;38.000,00;66903.96
17;Tocantins;2018;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;140;Toneladas;5.600,00;1.38;7742.82;40.000,00;55305.92
42;Santa Catarina;2017;Floresta Plantada;PFM;1.1.2 - Carvão vegetal de pinus;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Pinus;63;Toneladas;889,00;1.44;1285.18;14.111,11;20399.8
28;Sergipe;2023;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;3;Toneladas;17,00;1.05;17.86;5.666,67;5953.4
51;Mato Grosso;2016;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;6;Toneladas;20,00;1.48;29.68;3.333,33;4949.02
28;Sergipe;2022;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;3;Toneladas;11,00;1.1;12.11;3.666,67;4037.84
27;Alagoas;2021;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;30;Toneladas;96,00;1.17;112.56;3.200,00;3751.94
51;Mato Grosso;2023;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;520;Toneladas;1.820,00;1.05;1912.09;3.500,00;3677.1
28;Sergipe;2021;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;3;Toneladas;9,00;1.17;10.54;3.000,00;3517.45
33;Rio de Janeiro;2016;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;165;Toneladas;389,00;1.48;577.54;2.357,58;3500.31
17;Tocantins;2015;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;1;Toneladas;2,00;1.6;3.2;2.000,00;3203.21
43;Rio Grande do Sul;2015;Floresta Plantada;PFM;1.1.2 - Carvão vegetal de pinus;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Pinus;1;Toneladas;2,00;1.6;3.2;2.000,00;3203.21
33;Rio de Janeiro;2017;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;289;Toneladas;609,00;1.44;880.4;2.107,27;3046.38
35;São Paulo;2016;Floresta Plantada;PFM;1.1.2 - Carvão vegetal de pinus;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Pinus;1;Toneladas;2,00;1.48;2.97;2.000,00;2969.41
43;Rio Grande do Sul;2016;Floresta Plantada;PFM;1.1.2 - Carvão vegetal de pinus;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Pinus;1;Toneladas;2,00;1.48;2.97;2.000,00;2969.41
33;Rio de Janeiro;2021;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;439;Toneladas;1.109,00;1.17;1300.28;2.526,20;2961.92
33;Rio de Janeiro;2019;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;259;Toneladas;564,00;1.34;760.52;2.177,61;2936.42
43;Rio Grande do Sul;2017;Floresta Plantada;PFM;1.1.2 - Carvão vegetal de pinus;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Pinus;1;Toneladas;2,00;1.44;2.88;2.000,00;2891.31
42;Santa Catarina;2023;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;12593;Toneladas;34.590,00;1.05;36340.25;2.746,76;2885.74
33;Rio de Janeiro;2018;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;231;Toneladas;482,00;1.38;666.43;2.086,58;2885.01
17;Tocantins;2013;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;415;Toneladas;623,00;1.87;1169.12;1.501,20;2817.17
23;Ceará;2022;Floresta Plantada;PFM;1.1.1 - Carvão vegetal de eucalipto;1.1 - Carvão vegetal;Madeira para combustível;Tronco e/ou galhos;Eucalipto;18;Toneladas;46,00;1.1;50.65;2.555,56;2814.25
